,comment,target
0,This course quite help to get as much reliable data as possible for any survey. ,"{'cours': ['course'], 'data': ['data'], 'survey': ['survey']}"
1,Excellent review of relevant material. ,"{'review': ['review'], 'materi': ['material']}"
2,Good knowledge about Non-responses!,"{'knowledg': ['knowledge'], 'non-respons': ['Non-responses']}"
3,"The contents of this course could be interesting, but they end up being terribly boring. The course lacks examples to bring things to life. A pity!","{'content': ['contents'], 'cours': ['course'], 'exampl': ['examples']}"
4,it is very informative,{}
5,"The quality of the presentation is very low, and way below the quality in other courses. The assignments are very poorly designed. This is not a subjective personal experience. This is based on discussions with other learners in the forum who have expressed disappointment and frustration.","{'qualiti': ['quality'], 'present': ['presentation'], 'cours': ['courses'], 'experi': ['experience'], 'discuss': ['discussions'], 'learner': ['learners'], 'forum': ['forum'], 'disappoint': ['disappointment'], 'frustrat': ['frustration']}"
6,"I was interested in the topic. The course itself seems like just a starting point with understanding dealing with missing data. I wanted to know more and see more examples than the videos offered. I also would have appreciated including examples from more than just R, though I did appreciate the minimal discussion of other statistical software that are available for statistical analysis when it did occur.","{'topic': ['topic'], 'cours': ['course'], 'point': ['point'], 'data': ['data'], 'exampl': ['examples'], 'video': ['videos'], 'discuss': ['discussion'], 'softwar': ['software'], 'analysi': ['analysis']}"
7,This course quite help to get as much reliable data as possible for any survey. ,"{'cours': ['course'], 'data': ['data'], 'survey': ['survey']}"
8,Excellent review of relevant material. ,"{'review': ['review'], 'materi': ['material']}"
9,Good knowledge about Non-responses!,"{'knowledg': ['knowledge'], 'non-respons': ['Non-responses']}"
10,"The contents of this course could be interesting, but they end up being terribly boring. The course lacks examples to bring things to life. A pity!","{'content': ['contents'], 'cours': ['course'], 'exampl': ['examples']}"
11,"I was interested in the topic. The course itself seems like just a starting point with understanding dealing with missing data. I wanted to know more and see more examples than the videos offered. I also would have appreciated including examples from more than just R, though I did appreciate the minimal discussion of other statistical software that are available for statistical analysis when it did occur.","{'topic': ['topic'], 'cours': ['course'], 'point': ['point'], 'data': ['data'], 'exampl': ['examples'], 'video': ['videos'], 'discuss': ['discussion'], 'softwar': ['software'], 'analysi': ['analysis']}"
