,comment,target
0,"Solid introduction with a lot of references. Lot of topics are not deep enough discussed and a lot of additional reading is necessary in order to get a lot out of the course. Furthermore, the presentation style and the language understandability of the lecturer are not very good. Too few exercise questions. Would still recommend it as introduction course and for the high number of good paper references.","{'introduct': ['introduction'], 'lot': ['Lot', 'lot'], 'refer': ['references'], 'topic': ['topics'], 'read': ['reading'], 'cours': ['course'], 'present style': ['presentation style'], 'languag understand': ['language understandability'], 'lectur': ['lecturer'], 'exercis question': ['exercise questions'], 'introduct cours': ['introduction course'], 'number': ['number'], 'paper refer': ['paper references']}"
1,Amazing!,{}
2,"It's an introductory course to key Pattern Discovery techniques with a comprehensive coverage of important subjects. However, it should be complemented by following the referenced material in order to obtain a wider and more complete picture of the field.","{'cours': ['course'], 'pattern discoveri techniqu': ['Pattern Discovery techniques'], 'coverag': ['coverage'], 'subject': ['subjects'], 'materi': ['material'], 'pictur': ['picture'], 'field': ['field']}"
3,Great course for beginners without experience in Python programming,"{'cours': ['course'], 'beginn': ['beginners'], 'experi': ['experience'], 'python program': ['Python programming']}"
4,Should be more support in the forum for quiz and assignement,"{'support': ['support'], 'forum': ['forum'], 'quiz': ['quiz'], 'assign': ['assignement']}"
5,"The explanations are not clear. The course is very theoretical, there's just one obligatory programming task. It's one of the worst courses I have ever enrolled in.","{'explan': ['explanations'], 'cours': ['course', 'courses']}"
6,The course exercises are medium-hard. But the topic coverage is spot on.,"{'cours exercis': ['course exercises'], 'topic coverag': ['topic coverage']}"
7,"I'd review this course for two parts lectures and programming assignments.Lectures Prof. Jiawei Han is a pioneer of the subject. However, I was expecting a more indepth elaboration of techniques. In almost all his lectures he covered very crucial topics at a near-shallow level. For someone like me, it was a motivation to be learning the subject from him but I was left disappointed a little bit. I felt if i was just to gain a superficial understanding then I would have browsed through any website blog article rather than paying for this course and coming here under his tutelage. I will not expect him to be as thorough as he'd be in his lectures at UIUC although why not! but a more elaborative explanation with more notable examples instead of pointing to the reading material at the end of 4th minute of the lecture will be more fruitful and a better learning experience.The programming assignments are challenging and will definitely open up the thought process towards being able to imagine what patterns mean and how to go about extracting them.","{'cours': ['course'], 'part': ['parts'], 'program': ['programming'], 'prof. jiawei han': ['Prof. Jiawei Han'], 'pioneer': ['pioneer'], 'subject': ['subject'], 'elabor': ['elaboration'], 'techniqu': ['techniques'], 'topic': ['topics'], 'level': ['level'], 'someon': ['someone'], 'motiv': ['motivation'], 'bit': ['bit'], 'understand': ['understanding'], 'tutelag': ['tutelage'], 'explan': ['explanation'], 'exampl': ['examples'], 'read materi': ['reading material'], 'end': ['end'], 'minut': ['minute'], 'lectur': ['lecture'], 'experience.th program assign': ['experience.The programming assignments'], 'process': ['process'], 'pattern': ['patterns']}"
8,very nice!,{}
9,"I learned a lot from this lecture. And I believe the lecture is excellent except that if he could become a little bit funny, then it would be perfect. Thanks,Clark","{'lot': ['lot'], 'lectur': ['lecture'], 'bit': ['bit']}"
10,"Really disappointing. The slides contain a lot of paper references that seem to be of high quality that's the reason I'm giving it 2 stars and not just 1 .. but the course itself is bad it covers many algorithms, but so superficially that you learn nothing; and there are not enough programming assignments to really allow you to get any intuition on the concepts.I would love to see this be turned into a 5-course, 30-week specialization in itself and the professor sure looks like he has the knowledge to fill these 30 weeks .. but as a single course over 4 weeks, it's not good.","{'slide': ['slides'], 'lot': ['lot'], 'paper refer': ['paper references'], 'qualiti': ['quality'], 'reason': ['reason']}"
11, too theoretical without enough practical quiz and assignment ,"{'quiz': ['quiz'], 'assign': ['assignment']}"
12,"I like this course. Its provides a good base for pattern discovery, with useful high level techniques, this can be used as a starting point. Something to improve can be incorporating at least one lesson with best practice coding techniques to solve the practical exercises. ","{'cours': ['course'], 'base': ['base'], 'pattern discoveri': ['pattern discovery'], 'level techniqu': ['level techniques'], 'point': ['point'], 'practic': ['practice'], 'techniqu': ['techniques'], 'exercis': ['exercises']}"
13,The course is very helpful and brings fascinating insights for projects.,"{'cours': ['course'], 'insight': ['insights'], 'project': ['projects']}"
14,"Solid introduction with a lot of references. Lot of topics are not deep enough discussed and a lot of additional reading is necessary in order to get a lot out of the course. Furthermore, the presentation style and the language understandability of the lecturer are not very good. Too few exercise questions. Would still recommend it as introduction course and for the high number of good paper references.","{'introduct': ['introduction'], 'lot': ['Lot', 'lot'], 'refer': ['references'], 'topic': ['topics'], 'read': ['reading'], 'cours': ['course'], 'present style': ['presentation style'], 'languag understand': ['language understandability'], 'lectur': ['lecturer'], 'exercis question': ['exercise questions'], 'introduct cours': ['introduction course'], 'number': ['number'], 'paper refer': ['paper references']}"
15,Amazing!,{}
16,"It's an introductory course to key Pattern Discovery techniques with a comprehensive coverage of important subjects. However, it should be complemented by following the referenced material in order to obtain a wider and more complete picture of the field.","{'cours': ['course'], 'pattern discoveri techniqu': ['Pattern Discovery techniques'], 'coverag': ['coverage'], 'subject': ['subjects'], 'materi': ['material'], 'pictur': ['picture'], 'field': ['field']}"
17,Should be more support in the forum for quiz and assignement,"{'support': ['support'], 'forum': ['forum'], 'quiz': ['quiz'], 'assign': ['assignement']}"
18,The course exercises are medium-hard. But the topic coverage is spot on.,"{'cours exercis': ['course exercises'], 'topic coverag': ['topic coverage']}"
19,"I'd review this course for two parts lectures and programming assignments.Lectures Prof. Jiawei Han is a pioneer of the subject. However, I was expecting a more indepth elaboration of techniques. In almost all his lectures he covered very crucial topics at a near-shallow level. For someone like me, it was a motivation to be learning the subject from him but I was left disappointed a little bit. I felt if i was just to gain a superficial understanding then I would have browsed through any website blog article rather than paying for this course and coming here under his tutelage. I will not expect him to be as thorough as he'd be in his lectures at UIUC although why not! but a more elaborative explanation with more notable examples instead of pointing to the reading material at the end of 4th minute of the lecture will be more fruitful and a better learning experience.The programming assignments are challenging and will definitely open up the thought process towards being able to imagine what patterns mean and how to go about extracting them.","{'cours': ['course'], 'part': ['parts'], 'program': ['programming'], 'prof. jiawei han': ['Prof. Jiawei Han'], 'pioneer': ['pioneer'], 'subject': ['subject'], 'elabor': ['elaboration'], 'techniqu': ['techniques'], 'topic': ['topics'], 'level': ['level'], 'someon': ['someone'], 'motiv': ['motivation'], 'bit': ['bit'], 'understand': ['understanding'], 'tutelag': ['tutelage'], 'explan': ['explanation'], 'exampl': ['examples'], 'read materi': ['reading material'], 'end': ['end'], 'minut': ['minute'], 'lectur': ['lecture'], 'experience.th program assign': ['experience.The programming assignments'], 'process': ['process'], 'pattern': ['patterns']}"
