,comment,target
0," I found this course very informative, it expanded to me the landscape of cyber security.","{'cours': ['course'], 'landscap': ['landscape'], 'cyber secur': ['cyber security']}"
1,very boring. Just reading from slides. ,{'slide': ['slides']}
2,Excellent,{}
3,"This is not a class for a non-computer scientist or a non-electrical engineer. It's frustrating to learn the material this way, but the information is valuable.","{'scientist': ['scientist'], 'engin': ['engineer'], 'materi': ['material'], 'way': ['way'], 'inform': ['information']}"
4,Only two stars because of poor quality of videos.,"{'star': ['stars'], 'qualiti': ['quality'], 'video': ['videos']}"
5,"Audio quality is very poor, this makes it very difficult to understand, sometimes impossible to understand the professor which is not a native eanglish speaker. His mispronunciation and strugle with words combined with low audio volume makes it almost imposible to understand at times.","{'qualiti': ['quality'], 'professor': ['professor'], 'speaker': ['speaker'], 'mispronunci': ['mispronunciation'], 'volum': ['volume'], 'time': ['times']}"
6,"The course gives a very high level overview of hardware security and does not go into particular details. Understandably, hardware labs are not included in this online course and the only practice is basic boolean and modular algebra. Quality of the media and transcripts can be improved. Sound is very low and noisy in some videos which makes it hard to watch on a mobile device. Some videos seems to be cut of too early and week's 6 videos are out of order, which is annoying. Overall it's an okay overview of the topic for someone who is unlikely to apply it at daily job e.g. software engineer like myself ","{'cours': ['course'], 'level overview': ['level overview'], 'hardwar secur': ['hardware security'], 'detail': ['details'], 'onlin': ['online'], 'practic': ['practice'], 'boolean': ['boolean'], 'algebra': ['algebra'], 'qualiti': ['Quality'], 'media': ['media'], 'transcript': ['transcripts'], 'sound': ['Sound'], 'video': ['videos'], 'devic': ['device'], 'order': ['order'], 'overview': ['overview'], 'topic': ['topic'], 'job': ['job'], 'softwar engin': ['software engineer']}"
7,"Course contents was good , assignments were challenging One suggestion is to provide pdf for each classroom session or may be a weekly pdf would be great , It so happened that attending each quiz without pdf it was hard to search from video transcript back and forth","{'cours content': ['Course contents'], 'assign': ['assignments'], 'suggest': ['suggestion'], 'pdf': ['pdf'], 'quiz': ['quiz'], 'video transcript': ['video transcript']}"
8,Wow! Great and accessible introduction to HW security. ,"{'great': ['Great'], 'introduct': ['introduction'], 'hw secur': ['HW security']}"
9,"A lot of it wasn't comprehensible. Also, I may have not been well prepared for it. I should have tried to learn of the background required for this course.","{'lot': ['lot'], 'cours': ['course']}"
10,I enjoyed this course and I learn many things,"{'cours': ['course'], 'thing': ['things']}"
11,Great overviez on Hardware Security,"{'overviez': ['overviez'], 'hardwar secur': ['Hardware Security']}"
12,"foreign accent is totally ok, but very poor presentation skills by lecturer. material should be refreshed some already outdated ","{'accent': ['accent'], 'present skill': ['presentation skills'], 'lectur': ['lecturer'], 'materi': ['material']}"
13,It was a very nice course. Lots of exposure was given to mathematical ways of analyzing threat.,"{'cours': ['course'], 'lot': ['Lots'], 'way': ['ways'], 'threat': ['threat']}"
14,Complete course in order to have a clear overview of HW security. I would recommend it to all HW engineers or System Engineers as well.,"{'cours': ['course'], 'order': ['order'], 'overview': ['overview'], 'hw secur': ['HW security'], 'hw engin': ['HW engineers'], 'system engin': ['System Engineers']}"
15,If you really serious about security - you have to start with your hardware...,{'secur': ['security']}
16,"The most boring course i have ever done in my life... Soporific course, Content interesting, but professor is just reading slides, with reading mistakes every 2-3 words. I would not recommend this course at all.","{'cours': ['course'], 'content': ['Content'], 'professor': ['professor'], 'slide': ['slides'], 'mistak': ['mistakes']}"
17,"Poor presentation skills mostly reading slides Unclear and inconsistent in what pre-requisite knowledge is needed for the course in one place he assumes one does not know digital logic, but then later he assumes you know hardware languages, fpga design, etc. Was a waste of time, shame on Coursera that pre-requisite knowledge was removed from the site.","{'poor present skill': ['Poor presentation skills'], 'slide': ['slides'], 'knowledg': ['knowledge'], 'cours': ['course'], 'logic': ['logic'], 'wast': ['waste'], 'time': ['time'], 'shame': ['shame'], 'coursera': ['Coursera']}"
18,Very slow paced and boring. The instructor is not good at teaching.,"{'instructor': ['instructor'], 'teach': ['teaching']}"
19,"It is a great intro course with very rich information about hardware security. But just as some other students have mentioned, the difficulty level of each assignment is not well balanced, and Week 6 videos are out of order. ","{'intro cours': ['intro course'], 'inform': ['information'], 'hardwar secur': ['hardware security'], 'student': ['students'], 'difficulti level': ['difficulty level'], 'assign': ['assignment'], 'week video': ['Week videos'], 'order': ['order']}"
20,"The audio can be difficult to understand. Partially because of the Professor's accent and partially because the recording is poor. If you can get past that, it's a good course and the professor knows his stuff.","{'audio': ['audio'], 'professor': ['Professor', 'professor'], 'accent': ['accent'], 'record': ['recording'], 'cours': ['course'], 'stuff': ['stuff']}"
21,The material used for this course is so old that makes me feel I'm taking a course in the 90's. The narration is very dull and therefore hard to follow. Really disappointing. ,"{'materi': ['material'], 'cours': ['course'], 'narrat': ['narration']}"
22,"The quality of the slides, video, and presentation in this course is much lower than those offered by this Speciality or coursera in general. Very disappointed in this.","{'qualiti': ['quality'], 'slide': ['slides'], 'video': ['video'], 'present': ['presentation'], 'cours': ['course'], 'special': ['Speciality'], 'coursera': ['coursera']}"
23,The content is rich but the way of teaching is dull.,"{'content': ['content'], 'way': ['way'], 'teach': ['teaching']}"
24," I found this course very informative, it expanded to me the landscape of cyber security.","{'cours': ['course'], 'landscap': ['landscape'], 'cyber secur': ['cyber security']}"
25,Excellent,{}
26,"This is not a class for a non-computer scientist or a non-electrical engineer. It's frustrating to learn the material this way, but the information is valuable.","{'scientist': ['scientist'], 'engin': ['engineer'], 'materi': ['material'], 'way': ['way'], 'inform': ['information']}"
27,Only two stars because of poor quality of videos.,"{'star': ['stars'], 'qualiti': ['quality'], 'video': ['videos']}"
28,"Audio quality is very poor, this makes it very difficult to understand, sometimes impossible to understand the professor which is not a native eanglish speaker. His mispronunciation and strugle with words combined with low audio volume makes it almost imposible to understand at times.","{'qualiti': ['quality'], 'professor': ['professor'], 'speaker': ['speaker'], 'mispronunci': ['mispronunciation'], 'volum': ['volume'], 'time': ['times']}"
29,"The course gives a very high level overview of hardware security and does not go into particular details. Understandably, hardware labs are not included in this online course and the only practice is basic boolean and modular algebra. Quality of the media and transcripts can be improved. Sound is very low and noisy in some videos which makes it hard to watch on a mobile device. Some videos seems to be cut of too early and week's 6 videos are out of order, which is annoying. Overall it's an okay overview of the topic for someone who is unlikely to apply it at daily job e.g. software engineer like myself ","{'cours': ['course'], 'level overview': ['level overview'], 'hardwar secur': ['hardware security'], 'detail': ['details'], 'onlin': ['online'], 'practic': ['practice'], 'boolean': ['boolean'], 'algebra': ['algebra'], 'qualiti': ['Quality'], 'media': ['media'], 'transcript': ['transcripts'], 'sound': ['Sound'], 'video': ['videos'], 'devic': ['device'], 'order': ['order'], 'overview': ['overview'], 'topic': ['topic'], 'job': ['job'], 'softwar engin': ['software engineer']}"
30,"Course contents was good , assignments were challenging One suggestion is to provide pdf for each classroom session or may be a weekly pdf would be great , It so happened that attending each quiz without pdf it was hard to search from video transcript back and forth","{'cours content': ['Course contents'], 'assign': ['assignments'], 'suggest': ['suggestion'], 'pdf': ['pdf'], 'quiz': ['quiz'], 'video transcript': ['video transcript']}"
31,Wow! Great and accessible introduction to HW security. ,"{'great': ['Great'], 'introduct': ['introduction'], 'hw secur': ['HW security']}"
32,"A lot of it wasn't comprehensible. Also, I may have not been well prepared for it. I should have tried to learn of the background required for this course.","{'lot': ['lot'], 'cours': ['course']}"
33,I enjoyed this course and I learn many things,"{'cours': ['course'], 'thing': ['things']}"
34,Great overviez on Hardware Security,"{'overviez': ['overviez'], 'hardwar secur': ['Hardware Security']}"
35,"foreign accent is totally ok, but very poor presentation skills by lecturer. material should be refreshed some already outdated ","{'accent': ['accent'], 'present skill': ['presentation skills'], 'lectur': ['lecturer'], 'materi': ['material']}"
36,It was a very nice course. Lots of exposure was given to mathematical ways of analyzing threat.,"{'cours': ['course'], 'lot': ['Lots'], 'way': ['ways'], 'threat': ['threat']}"
37,Complete course in order to have a clear overview of HW security. I would recommend it to all HW engineers or System Engineers as well.,"{'cours': ['course'], 'order': ['order'], 'overview': ['overview'], 'hw secur': ['HW security'], 'hw engin': ['HW engineers'], 'system engin': ['System Engineers']}"
38,"The most boring course i have ever done in my life... Soporific course, Content interesting, but professor is just reading slides, with reading mistakes every 2-3 words. I would not recommend this course at all.","{'cours': ['course'], 'content': ['Content'], 'professor': ['professor'], 'slide': ['slides'], 'mistak': ['mistakes']}"
39,Very slow paced and boring. The instructor is not good at teaching.,"{'instructor': ['instructor'], 'teach': ['teaching']}"
40,"It is a great intro course with very rich information about hardware security. But just as some other students have mentioned, the difficulty level of each assignment is not well balanced, and Week 6 videos are out of order. ","{'intro cours': ['intro course'], 'inform': ['information'], 'hardwar secur': ['hardware security'], 'student': ['students'], 'difficulti level': ['difficulty level'], 'assign': ['assignment'], 'week video': ['Week videos'], 'order': ['order']}"
41,"The audio can be difficult to understand. Partially because of the Professor's accent and partially because the recording is poor. If you can get past that, it's a good course and the professor knows his stuff.","{'audio': ['audio'], 'professor': ['Professor', 'professor'], 'accent': ['accent'], 'record': ['recording'], 'cours': ['course'], 'stuff': ['stuff']}"
