,comment,target
0,"I think the videos could be more dynamic, however, the course is very structured.","{'video': ['videos'], 'cours': ['course']}"
1,thank you,{}
2,"Great overview of designed and organic data collection! I feel more confident interpreting and understanding survey results and providing input on community-based research projects. Some of the readings were challenging for me because I have not studied statistics, but it was a welcome challenge. I plan to return to some of the course materials after completing a stats 101 course. I took the survey questionnaire design course in this specialization two years ago and I wish I'd taken this first. If you're thinking of sampling courses from this specialization, I highly recommend you start here. ","{'overview': ['overview'], 'data collect': ['data collection'], 'input': ['input'], 'research project': ['research projects'], 'statist': ['statistics'], 'challeng': ['challenge'], 'cours materi': ['course materials'], 'stat': ['stats'], 'cours': ['course'], 'questionnair design cours': ['questionnaire design course'], 'special': ['specialization'], 'sampl cours': ['sampling courses']}"
3,"This course is extremely hard to follow, not because of the content but because of the delivery. Presentation, visuals, word choice, speed, all very poor. I'm in week 3 and EVERY video has been just as difficult to follow. Quizzes are hard to understand and ask you about things that weren't of any actual value to the course, and or weren't even covered. Also, because multiple answers are required for each question, you are basically answering a 4 part question that is only worth 1 point. Get one part wrong and you miss the whole 1 point. ","{'cours': ['course'], 'content': ['content'], 'deliveri': ['delivery'], 'present': ['Presentation'], 'visual': ['visuals'], 'week': ['week'], 'everi video': ['EVERY video'], 'quizz': ['Quizzes'], 'valu': ['value'], 'answer': ['answers'], 'question': ['question'], '4 part': ['4 part'], 'point': ['point'], 'part': ['part']}"
4,One of the most informative courses I have ever taken. ,{'cours': ['courses']}
5,"This course is no joke. I struggled. I do not have a background in statistics or research but took it as pro dev for what I do in my job as a system administrator admin for our university's survey tool Excellent content, great introduction. Opened my eyes to how much I DONT know. Will be pursuing the rest of the specialization.","{'cours': ['course'], 'joke': ['joke'], 'background': ['background'], 'statist': ['statistics'], 'research': ['research'], 'dev': ['dev'], 'job': ['job'], 'system administr admin': ['system administrator admin'], 'survey tool content': ['survey tool content'], 'introduct': ['introduction'], 'eye': ['eyes'], 'rest': ['rest'], 'special': ['specialization']}"
6,I,{}
7,Stunning cutting-edge topic to convey Data Science results.,{'topic': ['topic']}
8,Thanks,{}
9,Excellent.,{}
10,The course content was good but teaching method was too poor to understand. First time little disappointment by coursera.com,"{'cours content': ['course content'], 'teach method': ['teaching method'], 'time': ['time'], 'disappoint': ['disappointment'], 'coursera.com': ['coursera.com']}"
11,this course is really good. i enjoyed a lot. ,"{'cours': ['course'], 'lot': ['lot']}"
12,I think this course gives the basic &amp; important knowledge about survey and data collection. Some can feel the course boring. But I believe the important knowledge boring sometimes.,"{'cours': ['course'], 'knowledg': ['knowledge'], 'survey': ['survey'], 'data collect': ['data collection'], 'cours bore': ['course boring'], 'knowledg bore': ['knowledge boring']}"
13,"AWFUL monotonous way of talking. I have such a great interest in this topic, but listening to her makes me want to rip my eyeballs out.","{'way': ['way'], 'interest': ['interest'], 'topic': ['topic'], 'eyebal': ['eyeballs']}"
14,Great overview of the survey process. Instructor presented information in a concise manner. Highly recommended. ,"{'overview': ['overview'], 'survey process': ['survey process'], 'instructor': ['Instructor'], 'inform': ['information'], 'manner': ['manner']}"
15,Excellent introductory course!,{'cours': ['course']}
16,This is an excellent introductory course. It provides the learners with all the basic information required to understand surveys.,"{'cours': ['course'], 'learner': ['learners'], 'inform': ['information'], 'survey': ['surveys']}"
17,Great overview of data collection and analysis. ,"{'overview': ['overview'], 'data collect': ['data collection'], 'analysi': ['analysis']}"
18,"An entremely good effort, gives you a wonderful introduction to the wonderful world of Survey Research in general and data collection overall. One of the plus point is that it directs you towards quite a few new sources of data that is pretty interesting if you are an active researcher. ","{'effort': ['effort'], 'introduct': ['introduction'], 'world': ['world'], 'survey research': ['Survey Research'], 'data': ['data'], 'collect': ['collection'], 'point': ['point'], 'sourc': ['sources'], 'research': ['researcher']}"
19,really helpful. and nicely thought!,{}
