,opinion,target
0,"{'excel': ['excellent', 'excellent'], 'easi': ['easy', 'easy'], 'recent': ['recent'], 'past': ['past'], 'green': ['green'], 'few': ['few'], 'visabl': ['visable'], 'best': ['best'], 'possibl': ['possible'], 'super': ['super'], 'fine': ['fine'], 'larger': ['larger', 'larger', 'larger'], '4mp': ['4mp'], 'bottom': ['bottom'], 'flexibl': ['flexible'], 'power': ['powerful'], 'extern': ['external'], 'mani': ['many'], 'great': ['great']}","{'pictur': ['picture', 'picture', 'picture', 'picture', 'picture', 'pictures', 'picture', 'pictures', 'picture', 'pictures'], 'qualiti': ['quality', 'quality', 'quality', 'quality'], 'color': ['color'], 'canon': ['canon', 'canon', 'canon'], 'g3': ['g3'], 'purchas': ['purchase'], 'camera': ['camera', 'camera', 'cameras', 'camera', 'camera'], 'fact': ['fact'], 'trip': ['trip'], 'week': ['week'], 'press': ['press'], 'box': ['box'], 'rest': ['rest'], 'way': ['way'], 'work': ['work'], 'constitu': ['constituants'], 'g2': ['g2'], 'x': ['x'], 'loss': ['loss'], 'set': ['setting'], 'flash': ['flash', 'flash', 'flash', 'flash'], 'pinch': ['pinch'], 'card': ['card'], 'line': ['line'], 'featur': ['features'], 'abil': ['ability'], 'lens': ['lense'], 'filter': ['filters'], 'choic': ['choices'], 'anyon': ['anyone'], 'combin': ['combination'], 'eas': ['ease'], 'use': ['use'], 'flexibl': ['flexibility'], 'option': ['options']}"
1,"{'cool': ['cool'], 'first': ['first'], 'digit': ['digital', 'digital'], 'keen': ['keen'], 'technic': ['technical'], 'worth': ['worth'], 'singl': ['single'], 'littl': ['little'], 'slr-like': ['slr-like'], 'full': ['full'], 'differ': ['different'], '4mp': ['4mp'], 'bigger': ['bigger'], 'high': ['high'], 'great': ['great'], 'good': ['good'], 'cf': ['cf'], 'perfect': ['perfect'], 'main': ['main'], 'backlit': ['backlit'], 'visibl': ['visible'], 'optic': ['optical', 'optical'], 'old-school': ['old-school'], 'die-hard': ['die-hard'], 'brilliant': ['brilliant'], 'happi': ['happy']}","{'toyyep': ['toyyep'], 'camera': ['camera', 'camera', 'camera'], 'toy': ['toy', 'toy'], 'softwar': ['software'], 'detail': ['details'], 'everyth': ['everything'], 'month': ['months'], 'g3': ['g3', 'g3'], 'cent': ['cent'], 'overview': ['overview'], 'canon': ['canon'], 'seri': ['series'], 'megapixel': ['megapixel'], 'manual': ['manual'], 'control': ['control'], 'pictur': ['pictures'], 'touch': ['touch'], 'brillianc': ['brilliance'], 'novic': ['novice'], 'expert': ['expert'], 'eas': ['ease'], 'use': ['use'], 'function': ['functionality'], 'kind': ['kind'], 'len': ['lens', 'lens'], 'flash': ['flashes'], 'storag': ['storage'], 'qualiti': ['quality'], 'imag': ['images', 'images'], 'movi': ['movies'], 'minut': ['minutes'], 'cf': ['cf'], 'choic': ['choice'], 'type': ['type'], 'thing': ['things'], 'noth': ['nothing'], 'dial': ['dial'], 'viewfind': ['viewfinder', 'viewfinder'], 'fan': ['fans'], 'lcd': ['lcd']}"
2,"{'incred': ['incredible'], 'extens': ['extensive'], 'differ': ['different'], 'onlin': ['online', 'online'], 'help': ['helpful'], 'complet': ['complete'], 'exhaust': ['exhaustive'], 'great': ['great', 'great'], 'high': ['high'], 'awesom': ['awesome'], 'pleas': ['pleased'], 'function': ['functional'], 'automat': ['automatic'], 'bad': ['bad'], 'panoram': ['panoramic', 'panoramic'], 'multipl': ['multiple'], 'seamless': ['seamless'], 'enorm': ['enormous']}","{'canon': ['canon', 'canon'], 'g3': ['g3', 'g3', 'g3'], 'camera': ['camera', 'cameras', 'camera', 'camera', 'camera', 'camera', 'camera', 'camera'], 'research': ['research', 'research'], 'megapixel': ['megapixel'], 'coupl': ['couple'], 'review': ['review', 'reviews', 'reviews'], 'site': ['sites', 'sites'], 'number': ['number'], 'resolut': ['resolution'], 'imag': ['images', 'image'], 'model': ['models'], 'word': ['word'], 'detail': ['details'], 'dpreview': ['dpreviews'], 'depth': ['depth'], 'featur': ['features'], 'speed': ['speed'], 'pictur': ['picture', 'picture', 'pictures'], 'qualiti': ['quality', 'quality'], 'flexibl': ['flexibility'], 'autom': ['automation'], 'conveni': ['conveniences'], 'set': ['settings'], 'mode': ['mode'], 'awe': ['awe']}"
3,"{'great': ['great'], 'satisfi': ['satisfied'], 'mani': ['many', 'many'], 'use': ['useful'], 'smaller': ['smaller'], 'digit': ['digital', 'digital'], 'easi': ['easy'], 'steadi': ['steady'], 'slower': ['slower'], 'visibl': ['visible'], 'most': ['most'], 'much': ['much'], 'littl': ['little'], 'minor': ['minor'], 'serious': ['serious']}","{'camera': ['camera', 'cameras', 'camera'], 'canon': ['canon', 'canon', 'canon'], 'g3': ['g3', 'g3', 'g3'], 'month': ['month'], 'hundr': ['hundreds'], 'photo': ['photos'], 'qualiti': ['quality'], 'featur': ['features'], 'shutter': ['shutter'], 'speed': ['speeds'], 'flaw': ['flaws', 'flaw'], 'len': ['lens', 'lens'], 'viewfind': ['viewfinder'], 'lcd': ['lcd'], 'time': ['time'], 'design': ['design'], 'disappoint': ['disappointment'], 'anyon': ['anyone'], 'photographi': ['photography']}"
4,"{'full': ['full'], 'wonder': ['wonderful'], 'photo': ['photo'], 'amaz': ['amazing'], 'most': ['most'], 'own': ['own'], 'digit': ['digital'], 'littl': ['little'], 'darn': ['darn'], 'small': ['small'], 'hard': ['hard'], 'accur': ['accurate', 'accurate'], 'much': ['much'], 'more': ['more']}","{'practic': ['practice'], 'love': ['love'], 'camera': ['camera', 'cameras', 'camera', 'camera'], 'day': ['day'], 'qualiti': ['quality'], 'fun': ['fun', 'fun'], 'featur': ['features', 'features'], 'thing': ['things'], 'peopl': ['people'], 'screen': ['screen'], 'time': ['time'], 'troubl': ['trouble'], 'attent': ['attention'], 'panel': ['panel'], 'top': ['top'], 'reason': ['reason'], 'adjust': ['adjustment', 'adjustment', 'adjustment'], 'dial': ['dial'], 't': ['t'], 'focus': ['focus'], 'viewfind': ['viewfinder'], 'eyesight': ['eyesight'], 'review': ['review']}"
5,"{'excel': ['excellent', 'excellent', 'excellent'], 'semi-seri': ['semi-serious', 'semi-serious'], 'amateur': ['amateur', 'amateur'], 'creativ': ['creative'], 'great': ['great', 'great'], 'right': ['right'], 'nice': ['nice'], 'digit': ['digital'], 'general': ['general'], 'flexibl': ['flexible'], 'on-screen': ['on-screen'], 'help': ['helpful'], 'tough': ['tough'], 'bulki': ['bulky'], 'same': ['same'], 'heavi': ['heavy'], 'solid': ['solid'], 'plastic': ['plastic'], 'ergonom': ['ergonomical'], 'point-and-shoot': ['point-and-shoot']}","{'posit': ['positives'], 'slr': ['slr', 'slr'], 'program': ['programming'], 'exposur': ['exposure', 'exposure', 'exposure'], 'control': ['control'], 'latitud': ['latitude'], 'progam': ['progam'], 'auto': ['auto'], 'set': ['settings', 'settings', 'settings'], 'photo': ['photos'], 'rang': ['range', 'range'], 'option': ['options'], 'meter': ['metering'], 'lcd': ['lcd', 'lcd', 'lcd'], 'screen': ['screen', 'screen'], '4mp': ['4mp'], 'market': ['market'], 'camera': ['camera'], 'photograph': ['photographer'], 'zoom': ['zoom'], 'thing': ['thing'], 'result': ['results'], 'pictur': ['picture'], 'week': ['weeks'], 'film': ['film'], 'system': ['system'], 'focus': ['focus', 'focus'], 'push': ['push'], 'button': ['button'], 'manual': ['manual'], 'mode': ['mode'], 'negat': ['negatives'], 'size': ['size'], 'minolta': ['minolta'], 'batteri': ['battery'], 'canon': ['canon'], 'elph': ['elph'], 'line': ['line'], 'len': ['lens'], 'viewfind': ['viewfinder']}"
6,"{'fantast': ['fantastic', 'fantastic'], 'digit': ['digital', 'digital', 'digital', 'digital', 'digital'], 'wonder': ['wonderful'], 'easi': ['easy', 'easy', 'easy', 'easy'], 'optic': ['optical', 'optical'], 'great': ['great'], 'nice': ['nice', 'nice'], 'highest': ['highest', 'highest'], 'littl': ['little'], 'blurri': ['blurry'], 'perfect': ['perfect'], 'usual': ['usual'], 'pleas': ['pleased'], 'onli': ['only'], 'minor': ['minor'], 'snug': ['snug']}","{'camera': ['camera', 'camera', 'camera', 'camera'], 'set': ['set'], 'featur': ['features'], 'lcd': ['lcd', 'lcd', 'lcd'], 'screen': ['screen'], 'direct': ['direction'], 'pictur': ['pictures', 'picture', 'pictures', 'pictures', 'pictures', 'pictures'], 'zoom': ['zoom', 'zoom', 'zoom', 'zoom'], 'addit': ['addition'], 'problem': ['problems'], 'canon': ['canon'], 'comput': ['computer', 'computer'], 'softwar': ['software'], 'sort': ['sort'], 'upload': ['upload'], 'issu': ['issues'], 'len': ['lens', 'lens'], 'cap': ['cap'], 'view': ['view', 'views'], 'viewfind': ['viewfinder'], 'menus': ['menus'], 'button': ['buttons'], 'price': ['price']}"
7,"{'best': ['best', 'best'], 'recent': ['recent'], 'digit': ['digital'], 'avail': ['available'], 'advanc': ['advanced'], 'creativ': ['creative'], 'imagin': ['imaginable'], 'full': ['full'], 'perfect': ['perfect'], 'photo': ['photo'], 'awesom': ['awesome'], 'comfort': ['comfortable'], 'friend': ['friendly'], 'more': ['more'], 'moder': ['moderate'], 'extend': ['extended'], 'faster': ['faster']}","{'everyth': ['everything'], 'price': ['price', 'price'], 'drop': ['drops'], 'g3': ['g3', 'g3', 'g3'], 'bargain': ['bargain'], 'camera': ['cameras', 'cameras'], 'photobug': ['photobugs'], 'control': ['control'], 'newbi': ['newbies'], 'auto': ['auto'], 'set': ['setting'], 'pictur': ['pictures'], 'box': ['box'], 'megapixel': ['megapixels', 'megapixel'], 'anybodi': ['anybody'], 'qualiti': ['quality'], 'market': ['marketing'], 'hype': ['hype'], 'anyon': ['anyone'], 'point': ['point'], 'shoot': ['shoot'], 'differ': ['difference'], 'zoom': ['zoom'], 'rang': ['range'], 'lens': ['lense'], 'top': ['top'], 'class': ['class'], 'year': ['years']}"
8,"{'pure': ['pure'], 'potenti': ['potential'], 'first-class': ['first-class'], 'digit': ['digital'], 'reason': ['reasonable'], 'better': ['better'], 'great': ['great', 'great'], 'easi': ['easy'], 'singl': ['single'], 'user-friend': ['user-friendly'], 'beauti': ['beautiful'], 'chrome': ['chrome'], 'breathtak': ['breathtaking'], 'friend': ['friendly'], 'other': ['other'], 'larger': ['larger'], 'compact-flash': ['compact-flash'], 'least': ['least']}","{'class': ['class'], 'qualiti': ['quality', 'quality'], 'work': ['work'], 'g3': ['g3', 'g3', 'g3', 'g3'], 'buyer': ['buyer'], 'camera': ['camera', 'camera', 'camera', 'camera'], 'price': ['price'], 'period': ['period'], 'pictur': ['pictures'], 'control': ['controls'], 'batteri': ['battery', 'battery', 'battery'], 'charg': ['charge'], 'softwar': ['software'], 'case': ['casing'], 'pic': ['pics'], 'photo': ['photos'], 'auto': ['auto'], 'mode': ['mode'], 'store': ['store'], 'hand': ['hands'], 'bit': ['bit'], 'canon': ['canon', 'canon', 'canon'], 'featur': ['features'], 'life': ['life', 'life'], 'type': ['type'], 'card': ['card', 'card'], 'simpletech': ['simpletech']}"
9,"{'great': ['great', 'great'], 'good': ['good'], 'same': ['same'], 'larger': ['larger'], 'beauti': ['beautiful'], '256mb': ['256mb'], 'highest': ['highest'], 'other': ['other', 'other'], 'optic': ['optical'], 'less': ['less'], 'proprietari': ['proprietary'], 'long': ['long'], 'more': ['more'], 'spare': ['spare']}","{'camera': ['camera', 'camera', 'camera', 'camera', 'camera', 'camera'], 'photograph': ['photographs'], 'work': ['work'], 'use': ['use'], 'time': ['time', 'time'], 'wife': ['wife', 'wife'], 'knob': ['knobs'], 'button': ['buttons'], 'cf': ['cf'], 'card': ['card', 'card'], 'batteri': ['battery', 'battery', 'batteries', 'batteries'], 'len': ['lens'], 'zoom': ['zoom'], 'lever': ['lever'], 'canon': ['canon', 'canon'], 'colorimetri': ['colorimetry'], 'lcd': ['lcd', 'lcd'], 'print': ['prints'], 'imag': ['images'], 'qualiti': ['quality'], 'brand': ['brands'], 'store': ['stores'], 'life': ['life'], 'compani': ['company'], 'finder': ['finder'], 'color': ['color'], 'output': ['output'], 'power': ['power'], 'charger': ['charger'], 'amazon': ['amazon']}"
