,comment,target
0,Great course in NLP which provides a broad overview of the topic. The programming assignments can make you confident in solving NLP-based problems in business applications.,"{'cours': ['course'], 'nlp': ['NLP'], 'overview': ['overview'], 'topic': ['topic'], 'program assign': ['programming assignments'], 'problem': ['problems'], 'busi applic': ['business applications']}"
1,Its a tough course but worth it!More in depth details will be much better.Coding Assignments can be explained much better. In this course there is problem in understanding coding assignment details as in some cases they are not explained correctly.,"{'cours': ['course'], 'it!mor': ['it!More'], 'depth detail': ['depth details'], 'better.cod assign': ['better.Coding Assignments'], 'problem': ['problem'], 'assign detail': ['assignment details'], 'case': ['cases']}"
2,"I got very good introduction not only for NLP but also for other adjacent topics like ML, probability theory, linear algebra. Highly recommend if you want to get involved in these topics.","{'introduct': ['introduction'], 'nlp': ['NLP'], 'topic': ['topics'], 'ml': ['ML'], 'probabl theori': ['probability theory'], 'algebra': ['algebra']}"
3,An ambitious sweep across the NLP landscape. Requires at least intermediate knowledge of Python; especially the programming assignments are barely doable without advanced debugging skills. Exercises often refer to material not covered in the course up to that point.,"{'sweep': ['sweep'], 'nlp landscap': ['NLP landscape'], 'knowledg': ['knowledge'], 'python': ['Python'], 'program assign': ['programming assignments'], 'debug skill': ['debugging skills'], 'exercis': ['Exercises'], 'materi': ['material'], 'cours': ['course'], 'point': ['point']}"
4,"Although the course seems to be very interesting and cover wide spectrum of NLP subjects, it is full with references to other materials some of them are no longer exist in the location given. Also the programming exercises quite often are detached from the material and also have references to materials that were not covered in lectures accompany them.My advice to author - made lectures and exercises more self-contained. Do not try to cover enormous amount of material during one week. Make exercised to be closely connected to the material given during that week.","{'cours': ['course'], 'cover spectrum': ['cover spectrum'], 'nlp subject': ['NLP subjects'], 'refer': ['references'], 'materi': ['materials', 'material'], 'locat': ['location'], 'program': ['programming'], 'amount': ['amount'], 'week': ['week']}"
5,"After about week 6, helpfulness decreased quite a lot..","{'week': ['week'], 'help': ['helpfulness'], 'lot': ['lot']}"
6,"Great overview of many of the most important topics of NLP. Practical examples and exploration of different approaches for each task from first attempts to state of the art make it easier to understand and absorb the theoretical content, while acquiring insight for concrete applications. ","{'overview': ['overview'], 'topic': ['topics'], 'nlp': ['NLP'], 'practic exampl': ['Practical examples'], 'explor': ['exploration'], 'approach': ['approaches'], 'task': ['task'], 'attempt': ['attempts'], 'state': ['state'], 'art': ['art'], 'content': ['content'], 'insight': ['insight'], 'applic': ['applications']}"
7,The course skims through loads of topics Need to go deep in some of them.,"{'cours': ['course'], 'load': ['loads'], 'topic': ['topics']}"
8,Recommended for new users who want to learn NLP.,"{'user': ['users'], 'nlp': ['NLP']}"
9,"A lot of good information, but I found it hard to retain most of it without a less dry style of presentation. Assignment were quite hard, and instructions were a bit too sketchy.","{'lot': ['lot'], 'inform': ['information'], 'style': ['style'], 'present': ['presentation'], 'assign': ['Assignment'], 'instruct': ['instructions'], 'bit': ['bit']}"
