,comment,target
0,"The content of the course is extremely useful, however assignments need review as the exercises results have mistakes and they are not explained very well missing step by step guidance ","{'content': ['content'], 'cours': ['course'], 'assign': ['assignments'], 'review': ['review'], 'exercis result': ['exercises results'], 'mistak': ['mistakes'], 'step': ['step'], 'step guidanc': ['step guidance']}"
1,"Unfortunately, the content of the course is poor. Too many interviews and some of them are pointless.","{'content': ['content'], 'cours': ['course'], 'interview': ['interviews']}"
2,"The content is too basic, and both lectures are too boring. ",{'content': ['content']}
3,Awesome Professors!Great Material.Very thankful to Coursera for providing this course.,"{'professors!great material.veri': ['Professors!Great Material.Very'], 'coursera': ['Coursera'], 'cours': ['course']}"
4,I love it. Would be cool to be able download all materials in one big zip file e.g for searching using grep ;- ,"{'download': ['download'], 'materi': ['materials'], 'zip file e.g': ['zip file e.g'], 'grep': ['grep']}"
5,"instructions for assignments are not clear! Lectures are good, but its practically impossible to get the certificate.","{'instruct': ['instructions'], 'assign': ['assignments'], 'lectur': ['Lectures']}"
6,"Overall , it is a very interesting course.But I would like to say , that there are too many interviews. I think that it is a little bit difficult for some non-native speaker to understand the main and important things from the interview, because some interviewers talked in a very loose way. So I would suggest our teacher , to summarize the main points of those interview in a better way ","{'course.but': ['course.But'], 'interview': ['interviewers', 'interviews', 'interview'], 'bit': ['bit'], 'speaker': ['speaker'], 'thing': ['things'], 'way': ['way'], 'point': ['points']}"
7,"Excellent course providing not only the knowledge of algorithms but also useful insights into developing and maintaining recommender systems. Only thing that could use some work is the assignments. Spreadsheet assignment in week 4 is poorly designed as evidenced by many forum threads with people not knowing what is it that the authors actually want Other than that, that was an extremely helpful course.","{'cours': ['course'], 'knowledg': ['knowledge'], 'algorithm': ['algorithms'], 'insight': ['insights'], 'thing': ['thing'], 'work': ['work'], 'assign': ['assignments'], 'spreadsheet assign': ['Spreadsheet assignment'], 'week': ['week'], 'forum thread': ['forum threads'], 'author': ['authors']}"
8,Very good content ! Very interesting interviews with expert in the field that shows real examples. However the exercise needs a bit more work to be very useful.,"{'content': ['content'], 'interview': ['interviews'], 'expert': ['expert'], 'field': ['field'], 'exampl': ['examples'], 'bit': ['bit']}"
9,"I think this is very useful for introductory, but it lacks some references for who wants go deeper.",{'refer': ['references']}
10,"The content of the course is extremely useful, however assignments need review as the exercises results have mistakes and they are not explained very well missing step by step guidance ","{'content': ['content'], 'cours': ['course'], 'assign': ['assignments'], 'review': ['review'], 'exercis result': ['exercises results'], 'mistak': ['mistakes'], 'step': ['step'], 'step guidanc': ['step guidance']}"
11,"Unfortunately, the content of the course is poor. Too many interviews and some of them are pointless.","{'content': ['content'], 'cours': ['course'], 'interview': ['interviews']}"
12,Awesome Professors!Great Material.Very thankful to Coursera for providing this course.,"{'professors!great material.veri': ['Professors!Great Material.Very'], 'coursera': ['Coursera'], 'cours': ['course']}"
13,I love it. Would be cool to be able download all materials in one big zip file e.g for searching using grep ;- ,"{'download': ['download'], 'materi': ['materials'], 'zip file e.g': ['zip file e.g'], 'grep': ['grep']}"
14,"Overall , it is a very interesting course.But I would like to say , that there are too many interviews. I think that it is a little bit difficult for some non-native speaker to understand the main and important things from the interview, because some interviewers talked in a very loose way. So I would suggest our teacher , to summarize the main points of those interview in a better way ","{'course.but': ['course.But'], 'interview': ['interviewers', 'interviews', 'interview'], 'bit': ['bit'], 'speaker': ['speaker'], 'thing': ['things'], 'way': ['way'], 'point': ['points']}"
15,"Excellent course providing not only the knowledge of algorithms but also useful insights into developing and maintaining recommender systems. Only thing that could use some work is the assignments. Spreadsheet assignment in week 4 is poorly designed as evidenced by many forum threads with people not knowing what is it that the authors actually want Other than that, that was an extremely helpful course.","{'cours': ['course'], 'knowledg': ['knowledge'], 'algorithm': ['algorithms'], 'insight': ['insights'], 'thing': ['thing'], 'work': ['work'], 'assign': ['assignments'], 'spreadsheet assign': ['Spreadsheet assignment'], 'week': ['week'], 'forum thread': ['forum threads'], 'author': ['authors']}"
16,Very good content ! Very interesting interviews with expert in the field that shows real examples. However the exercise needs a bit more work to be very useful.,"{'content': ['content'], 'interview': ['interviews'], 'expert': ['expert'], 'field': ['field'], 'exampl': ['examples'], 'bit': ['bit']}"
